データ日付,終値,始値,高値,安値
2022/7/5,26423.47,26386.23,26532.51,26294.84
2022/7/6,26107.65,26190.4,26298.96,26051.19
2022/7/7,26490.53,26280.94,26533.65,26136.99
2022/7/8,26517.19,26623.85,26881.75,26510.53
2022/7/11,26812.3,26892.73,27062.17,26710.59
2022/7/12,26336.66,26701,26718.67,26278.28
2022/7/13,26478.77,26403.79,26543.07,26389.1
2022/7/14,26643.39,26357.32,26713.07,26312.79
2022/7/15,26788.47,26736.08,26857.77,26571.38
2022/7/19,26961.68,27003.83,27043.58,26791.71
2022/7/20,27680.26,27295.95,27692.85,27295.95
2022/7/21,27803,27627.88,27803,27549.56
2022/7/22,27914.66,27773.14,27952.25,27701.25
2022/7/25,27699.25,27697.77,27848.59,27663.16
2022/7/26,27655.21,27682.2,27715.78,27538.39
2022/7/27,27715.75,27575.16,27772.97,27525.09
2022/7/28,27815.48,27909.15,28015.68,27651.99
2022/7/29,27801.64,27915.22,28001.8,27725.24
2022/8/1,27993.35,27813.82,27993.35,27751.59
2022/8/2,27594.73,27812.48,27830.58,27530.6
2022/8/3,27741.9,27673,27837.63,27634.65
2022/8/4,27932.2,27930.94,28005.59,27870.05
2022/8/5,28175.87,27915.06,28190.04,27910.22
2022/8/8,28249.24,28050.09,28279.12,28047.08
2022/8/9,27999.96,28236.84,28257.34,27966.91
2022/8/10,27819.33,27955.11,27964.96,27729.46
2022/8/12,28546.98,28251.74,28546.98,28207.86
2022/8/15,28871.78,28623.78,28897.07,28623.78
2022/8/16,28868.91,28829.53,28928.16,28752.88
2022/8/17,29222.77,28952.65,29222.77,28944.71
2022/8/18,28942.14,28957.4,28999.64,28846.52
2022/8/19,28930.33,29095.71,29150.8,28913.05
2022/8/22,28794.5,28654.07,28828.21,28586.36
2022/8/23,28452.75,28580.2,28580.2,28395.3
2022/8/24,28313.47,28481.34,28515.61,28282.21
2022/8/25,28479.01,28415.11,28534.71,28357.03
2022/8/26,28641.38,28639.47,28792.93,28608.7
2022/8/29,27878.96,28161.06,28179.09,27788.12
2022/8/30,28195.58,28086.72,28233.8,27944.25
2022/8/31,28091.53,27928.09,28104.8,27906.17
2022/9/1,27661.47,27797,27832.78,27589.7
2022/9/2,27650.84,27755.6,27772.37,27570.74
2022/9/5,27619.61,27567.29,27673.44,27511.68
2022/9/6,27626.51,27650.15,27813.78,27557.99
